wavelength	power
1.205130000000000098e-06	-2.100000000000000000e+02
1.205139999999999951e-06	-6.571270040000000279e+01
1.205150000000000015e-06	-6.660429100000000346e+01
1.205160000000000079e-06	-6.586953699999999401e+01
1.205169999999999932e-06	-2.100000000000000000e+02
1.205179999999999996e-06	-7.319950430000000097e+01
1.205190000000000060e-06	-2.100000000000000000e+02
1.205199999999999913e-06	-6.624787670000000617e+01
1.205209999999999977e-06	-7.282024570000000097e+01
1.205220000000000041e-06	-6.943823550000000466e+01
1.205230000000000106e-06	-6.559333220000000608e+01
1.205239999999999958e-06	-7.552173279999999522e+01
1.205250000000000022e-06	-6.878558400000000006e+01
1.205260000000000087e-06	-7.053652049999999463e+01
1.205269999999999939e-06	-7.080030779999999879e+01
1.205280000000000004e-06	-6.834951990000000421e+01
1.205290000000000068e-06	-7.538185169999999857e+01
1.205299999999999920e-06	-6.608406410000000619e+01
1.205309999999999985e-06	-2.100000000000000000e+02
1.205320000000000049e-06	-6.734796509999999614e+01
1.205329999999999901e-06	-6.644959609999999373e+01
1.205339999999999966e-06	-7.077195910000000367e+01
1.205350000000000030e-06	-6.866606459999999856e+01
1.205360000000000094e-06	-2.100000000000000000e+02
1.205369999999999947e-06	-2.100000000000000000e+02
1.205380000000000011e-06	-2.100000000000000000e+02
1.205390000000000075e-06	-7.432537700000000314e+01
1.205399999999999928e-06	-7.003254520000000127e+01
1.205409999999999992e-06	-6.615330140000000370e+01
1.205420000000000056e-06	-6.556283139999999321e+01
1.205429999999999909e-06	-6.932951110000000483e+01
1.205439999999999973e-06	-6.656429180000000656e+01
1.205450000000000038e-06	-6.550850490000000548e+01
1.205460000000000102e-06	-2.100000000000000000e+02
1.205469999999999954e-06	-2.100000000000000000e+02
1.205480000000000019e-06	-6.781930619999999976e+01
1.205490000000000083e-06	-8.730330399999999713e+01
1.205499999999999935e-06	-6.387241230000000058e+01
1.205510000000000000e-06	-6.669566009999999778e+01
1.205520000000000064e-06	-7.451748790000000611e+01
1.205529999999999916e-06	-7.176581029999999828e+01
1.205539999999999981e-06	-7.227814270000000363e+01
1.205550000000000045e-06	-7.005833570000000066e+01
1.205559999999999898e-06	-6.815218400000000543e+01
1.205569999999999962e-06	-6.631575669999999434e+01
